Customer ID,Region,Sales Volume,Customer Satisfaction Score,Returned,Salesperson Experience (Years),Discount Given (%)
520393cc-fcfb-4d0b-a41d-0d3b9adf257c,West,53973.71,2.7,No,2,0.5
7eda5a96-bf06-4945-8982-c8c62a78601d,West,48893.89,1.9,Yes,5,19.3
fba6e4ea-4951-498d-8495-f321e25b8f3f,West,55181.51,1.5,Yes,1,16.7
c56d4423-e11a-4d32-a291-d84bc2757f8f,West,62184.24,2.4,No,1,13.9
111ed672-87be-4da4-8f1b-1e6caedeae89,North,48126.77,4.8,Yes,5,8.2
21d529c4-9564-4617-b491-65afdca42c70,South,48126.9,2.3,No,3,3.5
50c82681-1c36-4e40-bf79-2ecf3c0694ff,East,62633.7,3.1,Yes,4,3.1
7677caa5-641a-4322-b983-244093ae13e6,West,56139.48,3.8,Yes,3,5.0
e7046e41-3ee0-4ec3-9953-d0dfe89663d4,East,46244.2,2.5,Yes,1,11.0
85134bd6-10f3-491f-b106-4527dad50f91,South,54340.48,4.9,Yes,1,14.3
8dab5392-7014-4cf3-8827-e4d4cd96528e,South,46292.66,4.8,Yes,5,13.2
347d31c3-eff3-40cc-b3d5-d2b3b4d753fb,East,46274.16,2.0,Yes,6,5.6
44e5fb7d-3ced-46c8-a9ed-60ebb587100b,West,51935.7,3.0,No,3,19.1
1ce2822e-9a19-4b60-84e6-cd06d8b34e9d,East,34693.76,2.2,No,9,14.8
840f1c1a-ef57-4a74-b87f-af6aad23b436,East,36200.66,2.1,No,5,11.1
34ede12e-ad30-47b1-bbbf-f8f7719043eb,South,45501.7,1.1,No,8,12.2
861f7058-7f1e-4dc6-8d37-a684b3ce7bcb,North,41897.35,3.4,No,1,8.4
1ac1e795-6932-4dca-ab2e-b48a579c07a5,East,52513.98,3.0,Yes,5,5.0
433b9954-5e93-4dcf-a4cc-be39a576cb88,South,42735.81,1.2,Yes,3,7.1
9ec54464-f220-433e-90aa-c2d0ed9a89f7,West,38701.57,2.1,No,1,15.2
ea719001-18d3-4878-ba5b-2eeae7722177,South,61725.19,4.6,Yes,4,0.3
f8f5b373-1ce7-480a-b412-c4a604270782,South,48193.79,2.0,Yes,5,2.3
9b819150-38f6-4920-b6c9-e142a298b8e6,East,50540.23,1.6,No,7,0.9
99fc22d5-f035-4065-a578-745f676b20a9,North,38602.01,3.0,No,1,0.8
9038dc09-f9b8-49e7-af40-838f54427ba2,West,45644.94,4.9,No,3,17.1
6af68e93-ab92-4400-8a96-edf31fc62523,North,50887.38,2.0,No,2,14.1
8db6a760-de31-47e3-97be-b6b44a88747f,South,40792.05,3.7,Yes,9,9.5
778a3e33-287e-497d-a00e-4cddc44d2f98,South,53005.58,4.0,Yes,10,2.0
5aa27471-98ba-4c25-974d-b121b7dad5f3,East,45194.89,2.0,Yes,6,9.8
65b5338e-bd4e-40b6-abbb-76d5c931cac2,East,47666.45,3.9,No,10,9.5
43ed5e3c-2168-464a-a89c-0c1c09bf8221,West,45186.35,2.5,No,3,3.5
8bb8cfc1-488a-435d-96da-d9c166e0fede,South,64818.23,3.5,No,8,8.7
9aedc62a-7f34-441e-9a29-f73240616a21,South,49892.02,3.5,Yes,8,8.0
74821c62-c388-4059-b714-c39d5a97574d,South,41538.31,3.1,Yes,2,12.3
8ffe09f5-f4eb-4e70-8fb1-13004bbbaaa4,East,56580.36,1.4,No,6,12.7
f6a8dc40-d1c3-4f7e-8f97-31ad3b8827c0,East,40233.25,4.3,Yes,7,0.9
1b229381-b7e0-4f4a-957e-8f7d21b9f33d,East,51670.91,2.3,No,2,7.5
224defcb-410c-40a4-913e-c3c093362dfd,South,34322.64,1.7,Yes,10,12.5
49977d39-0397-411e-9ac5-6a281a4dee30,North,39374.51,1.2,Yes,2,10.1
e3d5c2a6-d501-42b4-81bc-1f193213468b,East,51574.89,3.4,No,10,17.1
eaf18a46-ed2a-4ce0-9a8e-70a853128b73,North,55907.73,3.7,No,1,13.2
387f51c1-5b8b-40c3-a571-4940fbea5244,South,51370.95,1.1,No,8,3.3
86c496ae-62d7-49cf-a523-00c7af5864a2,East,49074.81,3.0,Yes,1,1.4
04e859c9-74cd-4d88-b406-2b3ed7e753aa,West,47591.17,1.9,No,9,12.8
36ddda68-6c97-4498-8392-0c822f060f1d,South,38171.82,3.6,No,6,0.5
dadef0c4-9c37-44b8-9a32-40b81018c29a,East,44241.25,1.7,Yes,7,11.7
70184600-df72-4f57-90e9-fa97e3e7249b,South,46314.89,3.8,No,10,18.8
b9448ae8-a8a5-4ed5-9d82-804a5400d2e8,West,58456.98,2.5,No,7,11.5
cb35d1de-b310-474a-9fa0-d853b8e17ff1,West,52748.95,4.7,Yes,10,7.8
d9817f61-a1aa-49ed-970c-8e753f7b90f8,East,35895.68,1.6,No,3,12.9
2f9c7fa6-f632-482b-ac1e-b60fa5f5cc99,East,52592.67,2.4,No,2,9.2
fe52e677-2b22-43cb-a83e-88459fbe44cb,East,46919.34,1.5,Yes,9,10.9
03bdedbe-57ad-4c27-b982-5d1f210cfe63,West,44584.62,4.7,No,8,18.8
223e96ce-c62f-44fb-a649-4321098d0682,North,54893.41,4.5,No,10,7.7
d9bd36dd-c7e0-4d9f-80e8-f79a85cdd7a0,South,58248.0,2.0,No,7,19.2
6a75055a-1b78-429c-8b72-3c2854130b87,South,57450.24,3.6,Yes,9,18.1
5060c559-e3aa-4bb2-a1a4-be8f4ea2e5c3,West,43286.26,4.3,Yes,4,3.9
18cc12c7-36d4-4e29-9866-ca85a7f3160c,North,47526.3,3.2,No,4,1.4
ef0905d9-7e9e-4a75-bb3b-1014a0e8bba0,South,52650.11,3.1,No,1,2.0
a0e409a7-1d06-4373-9096-133e719f1117,South,57804.36,2.0,Yes,8,0.4
f0696811-b01c-4e62-903d-e67b1895b8f8,South,46166.61,1.4,Yes,3,1.9
13989c70-dc14-4402-8b2c-f0c761db6609,North,48514.73,4.6,No,7,13.7
fb8ba913-a8ac-4f63-8123-e86088d4b19a,West,41149.32,4.6,No,2,1.4
f0946657-8539-4ddf-a29d-c9a5c896c048,West,40430.35,3.5,Yes,2,6.4
0d4e27b8-e773-49d6-b6b3-25e1e7c24d76,East,56500.21,2.4,No,7,16.9
0dc41f4a-c12a-4b37-a620-9ed06460d529,East,60849.92,2.4,Yes,6,0.5
4d313709-0cda-40ef-902d-06c93f62f329,South,49423.92,3.9,Yes,3,16.3
30d483b0-1144-4f48-bddf-ca3d5bc89d86,East,58028.26,4.6,Yes,9,5.6
7696e03c-7faa-4471-bad0-b52233af52fc,East,52893.09,4.5,No,10,2.4
c5534b73-2dc3-4ed3-8215-eb60de5c3876,North,44839.04,4.1,Yes,6,13.9
d2c1701e-6bd4-4ff7-9ed7-154dfd2de55b,West,52891.16,3.6,Yes,10,12.6
d6d1e7bc-0dd6-4d43-bd18-d91d5a5cbc6d,East,62304.29,1.3,No,10,17.5
5da721ec-8e97-44a7-9823-c5b7b13bc1e3,East,49713.39,1.6,Yes,6,14.7
278a5ff5-218d-4a27-8fa4-baa719bd0b5e,East,62517.15,4.6,Yes,1,16.1
7f8afde8-d1a6-44b9-ae74-06f18bcc02c2,North,29042.04,3.4,Yes,4,5.6
b2a0b559-d280-4b9f-a0b3-7107bc60004d,East,56575.22,1.0,Yes,10,3.5
4b355e1f-46c4-4748-aa43-6f116db5ef47,East,50696.38,1.4,No,6,15.0
082c1008-eeb5-48bb-a049-1b35a2b9ce89,North,47607.94,3.7,No,6,16.1
0706352c-1852-4b06-8742-84bfdb80011b,South,50734.09,1.0,No,5,19.8
e78bc5bf-8665-4cb4-8e30-174cfca9f46e,East,34099.45,1.6,No,1,8.3
e98de541-15ae-4ab7-abbc-41b2303db621,North,48242.62,3.2,Yes,8,7.4
a98f1a65-bf00-4c76-b9f9-6bc0b1f8877b,East,52856.9,3.8,Yes,5,15.5
05f4bf98-9227-47fa-aa17-f1c0fe237444,East,61823.15,3.6,Yes,5,6.8
7a30e597-b00f-43f4-9af4-437f6ad96c9f,West,45853.84,1.9,No,7,18.6
b4dadbd0-54e1-4e84-834a-c0c7601adaa7,East,43532.05,3.8,Yes,4,17.2
284fd6ac-9c46-4031-b684-d91ad93733d6,North,45985.94,1.9,Yes,6,8.6
e0e018df-d0aa-4f1c-8b95-bf0d11170152,North,57323.22,2.3,Yes,4,15.0
3f8291e3-23e3-4a1f-9d83-051d31933d98,North,52630.01,4.0,Yes,3,15.1
6918470a-d42b-46fe-bccf-00d4edfc5000,North,45761.92,3.6,Yes,7,2.1
0e3d0963-9ef6-4534-8b34-d9b1e567b108,West,54106.14,4.4,Yes,8,18.1
20ccf463-b795-47f7-be8e-5df4882efa59,South,50776.62,3.6,Yes,4,10.1
79fa2b31-5152-483a-9c5e-9d22a94f61e7,South,57749.16,3.3,No,2,16.5
caf5849f-2e98-45cb-848a-8177309626f9,South,44383.58,1.4,No,10,6.4
e1138170-e5cb-42a8-9233-11732fdd8122,West,47378.7,2.5,Yes,3,17.9
37368d79-307b-4e29-a7ee-a147662451e8,North,46863.13,2.1,Yes,1,7.8
cba33407-58a4-465c-b113-af138d7b5a8c,West,38291.88,2.0,No,8,0.2
747935a8-8587-44b6-a847-daa97aa94c2e,South,52368.96,4.9,No,3,18.1
bd76c5b2-e428-42b8-af22-f6ce6cfe1156,South,52088.44,2.6,No,10,1.8
0fbf1ee5-94d0-4f13-92e1-2ee7ed387e2f,North,50040.91,4.6,Yes,7,6.4
64bfa6e2-e6b5-42db-a550-7a47f2b943d1,West,48123.3,3.5,Yes,10,19.0
